Group_Type,City,Avg_Restaurant_Count,Total_Restaurant_Count,Locality_Count,Locality,City_Count
Locality,,6.0,6,,"District Centre, Janakpuri",1.0
Locality,,1.0,1,,Diwalipura,1.0
Locality,,1.0,1,,Doora,1.0
Locality,,2.0,2,,"DoubleTree by Hilton, Sector 56",1.0
Locality,,6.0,6,,Downtown,1.0
Locality,,4.0,4,,Downtown St Petersburg,1.0
Locality,,1.0,1,,Dr. Zakir Hussain Marg,1.0
Locality,,1.0,1,,Dubai Media City,1.0
Locality,,20.0,20,,Dubuque,1.0
Locality,,1.0,1,,Durga Puri,1.0
Locality,,1.0,1,,"Duxton Hill, Outram",1.0
Locality,,2.0,2,,Dwaraka Nagar,1.0
Locality,,1.0,1,,East Ballina,1.0
Locality,,50.0,50,,East Patel Nagar,1.0
Locality,,2.0,2,,East Village,1.0
Locality,,56.0,56,,East of Kailash,1.0
Locality,,2.0,2,,Edappally,1.0
Locality,,1.0,1,,Edgbaston,1.0
Locality,,1.0,1,,"Edsa Shangri-La, Ortigas, Mandaluyong City",1.0
Locality,,5.0,5,,"Elante Mall, Chandigarh Industrial Area",1.0
Locality,,2.0,2,,"Eldeco Station 1 Mall, Sector 12, Faridabad",1.0
Locality,,1.0,1,,Elgin,1.0
Locality,,2.0,2,,Ellis Bridge,1.0
Locality,,1.0,1,,Emek,1.0
Locality,,1.0,1,,Emirgï¿½ï¿½n,1.0
Locality,,21.0,21,,"Epicuria Food Mall, Nehru Place",1.0
Locality,,5.0,5,,"Eros Hotel, Nehru Place",1.0
Locality,,3.0,3,,Essex Farms,1.0
Locality,,4.0,4,,Evans,1.0
Locality,,1.0,1,,"Express Avenue Mall,  Royapettah",1.0
Locality,,2.0,2,,Faerie Glen,1.0
Locality,,1.0,1,,Fairground,1.0
Locality,,1.0,1,,Fatmawati,1.0
Locality,,2.0,2,,Federal Street,1.0
Locality,,1.0,1,,Fereej Bin Mahmoud,1.0
Locality,,1.0,1,,Fernley,1.0
Locality,,2.0,2,,Feroze Shah Road,1.0
Locality,,1.0,1,,Festival City,1.0
Locality,,1.0,1,,Flaxton,1.0
Locality,,3.0,3,,Flowery Branch,1.0
Locality,,1.0,1,,Forrest,1.0
Locality,,1.0,1,,Fort,1.0
Locality,,1.0,1,,Fort Kochi,1.0
Locality,,3.0,3,,Fort Oglethorpe,1.0
Locality,,1.0,1,,Fort Street,1.0
Locality,,1.0,1,,"Fort, Colombo 01",1.0
Locality,,2.0,2,,"Fortune Inn Grazia, Sector 27, Noida",1.0
Locality,,2.0,2,,"Fortune Select Excalibur, Sohna Road",1.0
Locality,,1.0,1,,"Fortune Select Global, MG Road",1.0
Locality,,1.0,1,,Fountainbridge,1.0
Locality,,4.0,4,,Fraser Road Area,1.0
Locality,,2.0,2,,Friends Colony,1.0
Locality,,3.0,3,,"Fun City Mall, Prashant Vihar",1.0
Locality,,38.0,38,,GTB Nagar,1.0
Locality,,1.0,1,,Gachibowli,1.0
Locality,,6.0,6,,Gainesville,1.0
Locality,,1.0,1,,Gajapati Nagar,1.0
Locality,,1.0,1,,"Galeria River, Copacabana",1.0
Locality,,1.0,1,,"Gandaria City Mall, Gandaria",1.0
Locality,,1.0,1,,Gandhi Nagar,1.0
Locality,,1.0,1,,Gandhipuram,1.0
Locality,,8.0,8,,"Ganga Shopping Complex, Sector 29",1.0
Locality,,1.0,1,,"Garden of Five Senses, Saket",1.0
Locality,,2.0,2,,Gardens,1.0
Locality,,14.0,14,,"Gardens Galleria, Sector 38 Noida",1.0
Locality,,1.0,1,,Garsfontein,1.0
Locality,,3.0,3,,Gazi Osman Paï¿½ï¿½a,1.0
Locality,,34.0,34,,Geeta Colony,1.0
Locality,,1.0,1,,"Ghanem Business Center, Fereej Bin Mahmoud",1.0
Locality,,1.0,1,,Ghatlodia,1.0
Locality,,2.0,2,,"Ginger Hotel, Vivek Vihar",1.0
Locality,,1.0,1,,"Glenfair Boulevard, Lynnwood  ",1.0
Locality,,7.0,7,,"Global Foyer Mall, Golf Course Road",1.0
Locality,,1.0,1,,Godaulia,1.0
Locality,,3.0,3,,Gokulam,1.0
Locality,,4.0,4,,Golambar,1.0
Locality,,1.0,1,,"Golden Square, City Light",1.0
Locality,,1.0,1,,"Goldfinch Hotel, Balmatta",1.0
Locality,,1.0,1,,Golf Course,1.0
Locality,,27.0,27,,Golf Course Road,1.0
Locality,,1.0,1,,Golpark,1.0
Locality,,12.0,12,,Gomti Nagar,1.0
Locality,,1.0,1,,Gopalapuram,1.0
Locality,,1.0,1,,"Gourmet Hub, Pashim Vihar",1.0
Locality,,1.0,1,,"Grand Hotel, MG Road",1.0
Locality,,2.0,2,,"Grand Indonesia Mall, Thamrin",1.0
Locality,,66.0,66,,Greater Kailash (GK) 1,1.0
Locality,,66.0,66,,Greater Kailash (GK) 2,1.0
Locality,,5.0,5,,Greater Kailash (GK) 3,1.0
Locality,,38.0,38,,Greater Noida,1.0
Locality,,1.0,1,,Greater South Side,1.0
Locality,,46.0,46,,Green Park,1.0
Locality,,3.0,3,,Green Point,1.0
Locality,,1.0,1,,"Greenlyn Village, Menlopark, Near Lynnwood",1.0
Locality,,1.0,1,,Greenside,1.0
Locality,,1.0,1,,Grovetown,1.0
Locality,,39.0,39,,Gujranwala Town,1.0
Locality,,1.0,1,,Gulmohar Colony,1.0
Locality,,3.0,3,,Gurdev Nagar,1.0
Locality,,2.0,2,,Gurukul,1.0
Locality,,1.0,1,,Gï¿½ï¿½vea,1.0
Locality,,1.0,1,,HIG-LIG,1.0
Locality,,1.0,1,,"Haji Lane, Rochor",1.0
